market,long profit,short profit,long wins,short wins,long losses,short losses,long uptrend size,long downtrend size,short uptrend size,short downtrend size,risk ratio tp,risk ratio sl,timeframe,long winrate,short winrate,method,date start,date end
BTCUSDT,0,2.0550703942047273,0,0,0,1,0,0,0,0,6.0,2.5,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,6.0,2.5,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-3.7757092687237224,0,7,0,9,0,0,0,0,6.0,3.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-12.874688433782792,0,2,0,1,0,0,0,0,6.0,3.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.4559496349243912,0,0,0,1,0,0,0,0,6.0,3.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,6.0,3.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-3.8744418711878827,0,4,0,5,0,0,0,0,1.5,1.0,15m,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,2.8987877103329454,0,0,0,1,0,0,0,0,1.5,1.0,1h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,1.5,1.0,4h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,1.5,1.0,1d,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,-5.438144856684313,0,3,0,6,0,0,0,0,2.0,1.0,15m,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,2.8987877103329454,0,0,0,1,0,0,0,0,2.0,1.0,1h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,2.0,1.0,4h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,2.0,1.0,1d,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,-3.8209010115019337,0,3,0,6,0,0,0,0,2.0,1.5,15m,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,4.285813772861125,0,0,0,1,0,0,0,0,2.0,1.5,1h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,2.0,1.5,4h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,2.0,1.5,1d,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,-7.619705527255018,0,3,0,6,0,0,0,0,2.5,1.0,15m,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,2.8987877103329454,0,0,0,1,0,0,0,0,2.5,1.0,1h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,2.5,1.0,4h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,2.5,1.0,1d,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,-6.002461682072638,0,3,0,6,0,0,0,0,2.5,1.5,15m,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,4.285813772861125,0,0,0,1,0,0,0,0,2.5,1.5,1h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,2.5,1.5,4h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,2.5,1.5,1d,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,-4.402578466143341,0,3,0,6,0,0,0,0,2.5,2.0,15m,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,5.6336130875049335,0,0,0,1,0,0,0,0,2.5,2.0,1h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,2.5,2.0,4h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,2.5,2.0,1d,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,-9.801266197825754,0,3,0,6,0,0,0,0,3.0,1.0,15m,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,2.8987877103329454,0,0,0,1,0,0,0,0,3.0,1.0,1h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.0,1.0,4h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.0,1.0,1d,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,-8.184022352643375,0,3,0,6,0,0,0,0,3.0,1.5,15m,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,4.285813772861125,0,0,0,1,0,0,0,0,3.0,1.5,1h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.0,1.5,4h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.0,1.5,1d,0,0,2,5 May 2013,17 June 2021
